Bristol Classic Rum Port Morant 1990 -2015 (Oloroso Sherry Finish),,
Bristol Classic Rum Port Morant 1990 (Port Finish),,
Bristol Classic Rum Providence Estate 1990-2012,,
Bristol Classic Rum Reserve Rum of Grenada (Distilled in 2003),Bristol Classic 2003 Grenada,
Bristol Classic Rum Rockley Still 1986-2012 (Sherry Finish),,
Bristol Classis Rum Caroni 1974,Bristol Classic 1974 Trinidad,
Bristol Classis Rum Caroni 1996,Bristol Classic 1996 Trinidad,
Bristol Classis Rum Fine Barbados Rum 2003,,
Bristol Classis Rum Jamaican Rum 2002,,
Bristol Classis Rum Port Morant Demerara 1990 25y,,
Bristol Classis Rum Port Morant Demerara 1999,,
Bristol Classis Rum Rockley Still 1986 (Sherry Finish),Bristol Classic 1986 Barbados Rockley Still 26-Year,
Bristol Port Morant 1999 (Bottled 2014) Port Cask Finish,Bristol Classic 1999 Port Morant Demerara Port Finish,
Bristol Port Morant 1999 (Bottled 2015),Bristol Classic 1999 Port Morant Demerara Port Finish,
Bristol Spiced Rum Spirit Drink,,
Brugal 1888,Brugal 1888,
Brugal Anejo,Brugal Anejo,
Brugal Anejo Reserva,Brugal AÃ±ejo Reserva,
Brugal Especial,,
Brugal Especial (old),,
Brugal Especial Dry,Brugal Especial Extra Dry,
Brugal Extra Viejo,Brugal Extra Viejo,
Brugal Extra Viejo Reserva,Brugal Extra Viejo Reserva,
Brugal Ron Extra Viejo,Brugal Extra Viejo,
Brugal Siglo de Oro,Brugal Siglo de Oro,
Brugal XV,Brugal XV,
Bumbu The Original,Bumbu Original,
Bumbu XO Rum,Bumbu XO,
Butterbird Rum,,
Cachaca Anunciada,,
Cachaca Artesanal Santa Grau Itirapua,,
Cachaca Bandarra,,
Cachaca Barao Dourado Amendoim,,
Cachaca Barril 12 Cachaca Extra Premium,,
Cachaca Boa Luz Serie Ouro,,
Cachaca Caracuipe Prata,,
Cachaca D'Lourdes Carvalho,,
Cachaca Dom Bre Ouro,,
Cachaca Fuzue,,
Cachaca Havaninha,,
Cachaca Mandaguay,,
Cachaca Nova Alianca Balsamo,,
Cachaca Reserva do Zito Ipe,,
Cachaca Santa Terezinha Canela Sassafraz,,
Cachaca Sebastiana Duas Barricas Quatro Anos,,
Cachaca Tabua Flor de Ouro,,
Cacique 500,Cacique 500 Gran Reserva,
Cacique Anejo,Cacique Anejo Superior,
Cadenhead's 1824 Special Single Cask Demerara Rum,Cadenhead's Demerara MPM 12-Year,
Cadenhead's AWM Enmore 18y 1988,,
Cadenhead's BBR Blackrock 11y,Cadenhead's Barbados BBR 11-Year,
Cadenhead's BMC from Epris Distillery,,
Cadenhead's Dark Caribbean Rum,,
Cadenhead's FSPD from South Pacific Distillery,Cadenhead's 2003 Fiji 13-Year,
Cadenhead's Green Label Guatemalan Rum Aged 8 Years,Cadenhead's Guatemala Green Label 8-Year,
Cadenhead's JMWP from Worthy Park Distillery,Cadenhead's Worthy Park JMWP 11-Year,
Cadenhead‚Äôs GMBV Bellevue Distillery¬†17yo,,
Cadenhead‚Äôs MEV Enmore Distillery Aged 26 Years,,
Cana Brava Reserva Aneja Aged 7 Years,Cana Brava 7-Year,
Cane & Bean 1870,,
Cane & Bean Cacao Infused Rum,,
Cane Island Barbados,Cane Island Barbados Single Island Blend,
Cane Island Barbados Rum Aged 8 Years,Cane Island Barbados 8-Year,
Cane Island Dominican Republic Rum Aged 5 Years,Cane Island Dominican Republic 5-Year,
Cane Island Jamaica,Cane Island Jamaica Single Island Blend,
Cane Island Trinidad Rum Aged 8 Years,Cane Island Trinidad 8-Year,
Cane Trader Dark Rum,Cane Trader Dark,
Captain Bligh XO Reserve,,
Captain Cook's Smooth and Spiced Original (Lidl own brand),Captain Cook's Original,
Captain Morgan - The Original Rum,Captain Morgan Original Spiced Gold,
Captain Morgan Private Stock,Captain Morgan Private Stock,
Captain Morgan Spiced Gold,Captain Morgan Spiced,
Captain Morgan Tiki Mango and Pineapple,,
Captain Morgan White Rum,Captain Morgan White,
Cargo Cult Spiced Rum,Cargo Cult Spiced,
"Caribbean Reserve, Enmore distillery Demerara 1998",,
Caroni 12 Year Old ‚Äì Velier,Caroni 12-Year,
Carta Vieja Golden Cask Solera 18,Carta Vieja Golden Cask 18-Year,
Castelo Branco Aguardente de Cana,,
Chairman's Reserve,Chairman's Reserve,
Chairman's Reserve 2005 Vintage,,
Chairman's Reserve Spiced,Chairman's Reserve Spiced,
Chairman's Reserve The Forgotten Casks,Chairman's The Forgotten Cask,
Chairman's Reserve White Label,Chairman's Reserve White Label,
Chairman‚Äôs Reserve Master‚Äôs Selection 2006 13 Year Old The Whisky Exchange Exclusive,,
Chairman‚Äôs Reserve Master‚Äôs Selection 2011 8 Years Old,,
Chairman‚Äôs Reserve White,Chairman's Reserve White,
Cihuatan Solera 8 Gran Reserva,Cihuatan Reserva Especial 8-Year,
Clairin Casimir Batch 2,Clairin 2015 Casimir Batch 2,
Clairin Le Rocher Recolte 2017,Clairin Le Rocher,
Clairin World Championship 2017,Clairin 2017 World Championship,
Clarkes Court #37 Blend Limited Edition,Clarkes Court # 37,
Clarkes Court Superior Light White Rum,Clarkes Court Superior Light,
Claudionor Aguardente de Cana,,
Clement Single Cask Tr√®s vieux rhum 100% Canne Bleue,Clement Single Cask,
Clement Single Cask Tr√®s vieux rhum Vanille intense,,
Clement VSOP,Clement VSOP,
Clement VSOP 125th anniv.,Clement 125th Anniversary,
Cloven Hoof Spiced Rum,Cloven Hoof Spiced,
Cockspur 12,Cockspur VSOR 12-Year,
Cockspur Fine Rum (5 star),Cockspur 5 Star Fine,
Cockspur Old Gold Special Reserve Rum,Cockspur Old Gold,
Colombina Cachaca Serie Especial 10 Anos,,
Comandante Fidel Ron Anejo del Caribe,,
Compagne des Indes Barbados 16 Years,Compagnie des Indes Barbados 16-Year,
Compagnie des Indes Barbados Multi Distilleries 20yo,Compagnie des Indes 1996 Barbados 20-Year,
Compagnie des Indes Foursquare¬†16yo,Compagnie des Indes 1998 Barbados 16-Year,
Compagnie des Indes Hampden¬†15yo,,
Compagnie des Indes New Yarmouth 12 Year Old,Compagnie des Indes 2005 Jamaica New Yarmouth 12-Year,
Compagnie des Indes New Yarmouth 12 Year Old (Danish Bottling),,
Compagnie des Indes St Lucia¬†13yo,,
Companheira Extra Premium,,
Companheira Gatinha Cachaca,,
Companie Des Indes Barbados Foursquare 16y,,
Companie Des Indes Jamaica Hampden 14y,Compagnie des Indes 2000 Jamaica 14-Year,
Companie Des Indes Jamaica Worthy Park 7y,Compagnie des Indes 2007 Jamaica 7-Year,
Conde de Cuba 15 anos,Conde de Cuba 15-Year,
Conde de Cuba 15 Anos Rum,,
Conde de Cuba 5 anos,Conde de Cuba 5-Year,
Coruba 18y,Coruba 18-Year,
Cruzan Single Barrel Estate Rum,Cruzan Single Barrel,
Cubaney Centenario,Cubaney Centenario 25-30-Year,
Damoiseau 5 Ans D'Age Rhum Vieux agricole,Damoiseau 5-Year,
Damoiseau Blanc 50%,Damoiseau Blanc 50%,
Damoiseau Rhum Vieux Millesime 1995,Damoiseau 1995,
Damoiseau VO,Damoiseau VO,
Danica Rum,,
Dark Matter Spiced Rum,Dark Matter Spiced,
Dead Man's Fingers,Dead Man's Fingers Coconut,
Delicana Balsamo Aged 10 Years,,
Demerara Rum 1971 Gordon & Macphail,,
Depaz 84,,
Depaz Grande Reserve XO,Depaz Cuvee du Grand Saint Pierre XO,
Diablesse Caribbean Rum,,
Diablesse Clementine Spiced Rum,Diablesse Clementine Caribbean,
Dictador 12,Dictador 12-Year,
Dictador 20,Dictador 20-Year,
Dictador Best of 1979,Dictador 1979 Best of,
Dictador Solera System Rum Aged 20 Years,,
Dictador XO - Insolent,Dictador XO Insolent,
Dictador XO Insolent,,
Dictador XO Perpetual,Dictador XO Perpetual,
Dillon 75,,
Diplomatico Ambassador,Diplomatico Ambassador Selection,
DIplomatico Ambassador,,
Diplomatico Blanco Reserve,Diplomatico Blanco,
Diplomatico Distillery Collection No1 Batch Kettle Rum,Diplomatico Distillery Collection No1 Batch Kettle,
Diplomatico Distillery Collection No2 Barbet Rum,Diplomatico Distillery Collection No2 Barbet,
Diplomatico Mantuano,Diplomatico Mantuano,
Diplomatico Planas,Diplomatico Planas,
Diplomatico Reserva,Diplomatico Reserva,
Diplomatico Reserva Exclusiva,Diplomatico Reserva Exclusiva,
Diplomatico Single Vintage 1997,Diplomatico 1997,
Diplomatico Single Vintage 2000,Diplomatico 2000,
Diplomatico Single Vintage 2001,Diplomatico 2001,
Diplomatio Single Vintage 2004,Diplomatico 2004,
Distillerie de Paris Rhum Galabe 97,,
Doctor Bird Jamaica Rum,Doctor Bird Pot Still,
Domaine De Courcelles Guadeloupe 1972-2003-2005,Domaine de Courcelles 1972 38-Year,
Don Papa 10 Year Old,Don Papa 10-Year,
Don Papa No.7,,
Don Q Anejo,Don Q Anejo,
Don Q Cristal,Don Q Cristal,
Don Q Double Aged Rum Vermouth Cask Finish,,
Don Q Double Cask Finish Puerto Rican Rum Finished in Sherry Casks,Don Q Double Aged Sherry Cask Finish 8-Year,
Don Q Finished in Sherry Casks,,
Don Q Gold,Don Q Gold,
Don Q Gran Anejo,Don Q Gran Anejo,
Don Q Gran A√±ejo Rum,,
Don Q Oak Barrel Spiced,Don Q Oak Barrel Spiced,
Don Q Single Barrel 2005,,
Don Q Sweet Vermouth Cask ‚ÄúFinish‚Äù,Don Q Vermouth Cask,
Doorly's 12 Year Old,Doorly's 12-Year,
Doorly's 12y,,
Doorly's 3 Year Old,Doorly's 3-Year,
Doorly's 5 Year Old,Doorly's 5-Year,
Doorly's 6y,Doorly's 6-Year,
Doorly's Aged 8 Years,Doorly's 8-Year,
Doorly's Fine Old Barbados Rum Aged 14 Years,,
Doorly's XO,,
Dos Maderas 5 + 5,,
Dos Maderas Luxus,Dos Maderas Luxus,
Dos Maderas PX 5+5,Dos Maderas PX 5+5,
Duncan Taylor Guyana Uitvlugt 1998 Aged 16 Years,,
Duncan Taylor Jamaica Long Pond Distillery 2000 Aged 15 Years,,
Duncan Taylor St Lucia Rum 11 Year Old (Cask 5),,
Dunderhead Rum,,
E.S.A.FIELD,E.S.A. Field White,
East London Liquor Co. Ltd Demerara Rum,East London Liquor Company Demerara,
Edward Gunpowder Spiced Rum,Edward Gunpowder,
El Dorado ‚ÄúRare‚Äù Collection Enmore¬†1993,El Dorado 1993 Enmore,
El Dorado ‚ÄúRare‚Äù¬†Collection¬†Port Mourant¬†1999,El Dorado 1999 Port Mourant,
El Dorado ‚ÄúRare‚Äù¬†Collection¬†Versailles¬†2002,El Dorado 2006 Versailles Single Still 12-Year,
El Dorado 12,El Dorado 12-Year,
El Dorado 12 Year Old Finest Demera Rum,,
El Dorado 12yo,,
El Dorado 15,,
El Dorado 15 Year Old Finest Demera Rum,,
El Dorado 15yo (Special Reserve),El Dorado Special Reserve 15-Year,
El Dorado 15yo MADEIRA DRY¬†Finish,El Dorado Special Reserve Madeira Dry Cask 15-Year,
El Dorado 15yo MADEIRA SWEET¬†Finish,El Dorado Special Reserve Madeira Sweet Cask 15-Year,
El Dorado 15yo¬†RED WINE¬†Finish,El Dorado Special Reserve Portuguese Red Wine Cask 15-Year,
El Dorado 15yo RUBY PORT¬†Finish,El Dorado Special Reserve Ruby Port Cask 15-Year,
El Dorado 15yo SAUTERNES¬†Finish,El Dorado Special Reserve Sauternes Cask 15-Year,
El Dorado 15yo WHITE PORT Finish,El Dorado Special Reserve White Port Cask 15-Year,
El Dorado 21,,
El Dorado 21 Year Old Finest Demera Rum,El Dorado 21-Year,
El Dorado 21yo,,
El Dorado 25 1980,,
El Dorado 25 1986,,
El Dorado 25 1988,El Dorado 1988 25-Year,
El Dorado 3 Year Cask Aged Rum,El Dorado 3-Year,
El Dorado 5,El Dorado 5-Year,
El Dorado 8,El Dorado 8-Year,
El Dorado 8 Years Cask Aged Demerara Rum,,
El Dorado Cask Aged 5 Years,,
El Dorado EHP (Single¬†Barrel),,
El Dorado Enmore (Ruby Port) 2003 15yo,,
El Dorado Enmore¬†(Sauternes) 2003 15yo,,
El Dorado Enmore 1993 (EHP) - Rare Collection,,
El Dorado Enmore¬†2006 12yo,,
El Dorado ICBU¬†(Single Barrel),,
El Dorado Original Dark Superior Demerara Rum,,
El Dorado PM¬†(Single Barrel),,
El Dorado Port Mourant 1999 (PM) Rare Collection,,
El Dorado Rare Collection Albion 2004,El Dorado 2004 Albion,
El Dorado Rare Collection Enmore 1993,,
El Dorado Rare Collection Enmore 1996,,
El Dorado Rare Collection Port Mourant 1997,,
El Dorado Rare Collection Port Mourant 1999,,
El Dorado Rare Collection Skeldon 2000,,
El Dorado Rare Collection Versailles 2002,,
El Dorado Single Barrel EHP,El Dorado Single Barrel,
El Dorado Single Barrel ICBU,El Dorado ICBU Single Barrel,
El Dorado Single Barrel PM,,
El Dorado Spiced,El Dorado Spiced,
El Dorado Spiced Rum - Subtly Spiced,,
El Dorado Superior White Demerara Rum,El Dorado Superior White,
El Dorado Versailles 2002 (VSG) Rare Collection,,
El Ron de Artesano Panama Ruby Port Cask Finish,,
El Ron del Artesano Panama Peated Cask Finish,,
Elements 8 Barrel Infused Criollo Cacao Rum,Elements 8 Fine Aged Cacao,
Elements 8 Barrel Infused Exotic Spices Rum,Elements 8 Exotic Spices 2-Year,
Elements 8 Gold Rum,Elements 8 Gold,
Elements Eight Exotic Spices,,
Elements Eight Platinum,Elements 8 Platinum,
Elements Eight Vendome,Elements 8 VendÃ´me,
English Harbour 1981 25 Year Old,English Harbour 1981 25-Year,
English Harbour Aged 5 Years,English Harbour 5-Year,
English Harbour Rum 1981,,
English Harbour Small batch Cask Finish Port Cask,English Harbour Port Cask Finish,
English Spirit Distillery - Old Salt Rum,,
English Spirit Distillery Old Salt Rum,English Spirit Old Salt,
English Spirit Distillery St. Piran‚Äôs,,
Excellence Rhum Barbados Foursquare 2006- 2017 11 Years Aged,Excellence Rhum 2006 Foursquare MBFS Barbade,
FAIR 10 Year Old Rum,Fair 10-Year,
Fair 11 Year Old¬†Rum,Fair 11-Year,
Flor de Ca√±a 25,Flor de CaÃ±a 25-Year,
Flor de Cana 5 Anejo Clasico,Flor de CaÃ±a AÃ±ejo ClÃ¡sico 5-Year,
Flor de Cana 7 Year Old (prior to bottle change to NAS),,
Flor de Cana Extra Seco 4,Flor de CaÃ±a Extra Seco 4-Year,
Flor de Cana Gran Reserva 7,Flor de CaÃ±a Gran Reserva - 7-Year,
Fortuna 8,Fortuna Reserva Exclusiva Anejo 8-Year,
Four Bells Finest Old Navy Rum (1970s),Four Bells Navy,
Foursquare 1985 Distilled,,
Foursquare ECS I 1998,Foursquare 1998,
Foursquare ECS III 2004,Foursquare 2004,
Foursquare ECS series 2005,Foursquare 2005 12-Year,
Foursquare ECS series Port Cask Finish,Foursquare Port Cask Finish,
Foursquare ECS series PREMISE,Foursquare Premise 10-Year,
Foursquare ECS series Zinfandel,Foursquare Zinfandel Cask Blend 11-Year,
Foursquare ECS V Criterion,Foursquare Criterion,
Foursquare ECS VI 2005,,
Foursquare ECS VII Dominus,,
Foursquare ECS VIII Premise,,
Foursquare Plenipotenziario,Foursquare Plenipotenziario 12-Year,
Foursquare Port Cask Finish,,
Foursquare Principia,,
Foursquare Rum Distillery - Criterion,,
Foursquare Rum Distillery - Triptych,,
Foursquare Rum Distillery 2005,,
Foursquare Rum Distillery 2007,,
Foursquare Rum Distillery Dominus,Foursquare Dominus 10-Year,
Foursquare Rum Distillery Empery,Foursquare Empery 14-Year,
Foursquare Rum Distillery Hereditas,Foursquare Hereditas 14-Year,
Foursquare Rum Distillery Nobiliary,Foursquare Nobilliary 14-Year,
Foursquare Rum Distillery Patrimonio,Foursquare Patrimonio,
Foursquare Rum Distillery Premise,,
Foursquare Rum Distillery Sagacity,Foursquare 2005 Sagacity 12-Year,
Foursquare Rum Sixty Six Cask Strength,Foursquare Sixty 6 Cask Strenght 12-Year,
Foursquare Triptych,Foursquare Triptych,
Foursquare Veritas,Foursquare Probitas,
Foursquare Zinfandel Cask Blend,,
Glorious Revolution Rum (Batch no. 2 Bottle no 23),Glorious Revolution English White,
Gold of Mauritius,Gold of Mauritius Dark,
Gosling's Black Seal,Gosling's Black Seal,
Gosling's Black Seal Overproof 151,Gosling's 151,
Gosling's Gold Rum,Gosling's Gold,
Gosling's Old Rum Grand Reserve,Gosling's Family Reserve Old,
Habitation Saint Etienne - Black Sheriff,,
Habitation Velier Forsyths WP 2005,Habitation Velier 2005 Forsyths WP 10-Year,
Habitation Velier Foursquare 2013,Habitation Velier 2013 Foursquare,
Habitation Velier Foursquare 2015 (unreleased press sample),,
Habitation Velier Hampden HLCF 2010,Habitation Velier Hampden HLCF,
Habitation Velier HLCF/LROK LMDW Anniversary 2010,Habitation Velier 2010 Hampden LROK,
Habitation Velier Last Ward 2007,Habitation Velier 2007 Last Ward,
Habitation Velier Worthy Park 2007 WPL,Habitation Velier 2007 Worthy Park 10-Year,
Hamilton 86 Ministry of Rum Collection Demerara River,Hamilton 86 Demerara,
Hamilton Ministry of Rum Collection Jamaica Gold,Hamilton Jamaican Gold,
Hampden Great House Distillery Edition,Hampden Estate Great House Destillery Edition,
Hattiers Premium Reserve Rum,,
Havana Aguardente de Cana,,
Havana Anisio Santiago Aguardente de Cana,,
Havana Club 15,Havana Club 15-Year,
Havana Club 15yo,,
Havana Club 3,Havana Club 3-Year,
Havana Club Anejo 15 Anos,,
Havana Club Anejo 3 Anos,,
Havana Club Anejo 7 Anos,Havana Club 7-Year,
Havana Club Anejo Especial (New Formula),Havana Club Anejo Especial,
Havana Club Edicion A,,
Havana Club Edicion B,,
Havana Club Especial,,
Havana Club Especial (pre 2015 re-formulation),,
Havana Club Maximo,,
Havana Club Maximo Extra Anejo Rum,Havana Club Maximo Extra Anejo,
Havana Club Ritual Cubano,Havana Club Ritual Cubano,
Havana Club Seleccion de Maestros,Havana Club SelecciÃ³n de Maestros,
Havana Club Tributo 2018,Havana Club 2018 Tributo,
Havana Club Union,Havana Club Union,
Higuana Ron de Caribe Anejo 5 Anos Reserva Especial,,
Holey Dollar Rum Silver Coin,Holey Dollar Silver Coin,
Holmes Cay Single Cask Rum Barbados 2005,,
Holmes Cay Single Cask Rum Fiji 2004,,
Hoxton Banana Rum,Hoxton Banana,
HSE 1998 Single Cask btl. 2009,HSE 2009 Port Cask Finish,
HSE 1998 Single Cask btl. 2013,,
HSE 2002 Single Malt Finish,HSE Single Malt Finish,
HSE 2005 Sherry Finish (PX) btl.2013,HSE 2005 Sherry Pedro Ximenez Finish,
HSE 2005 Single Malt Finish btl.2013,,
HSE Black Sheriff,HSE Black Sheriff,
HSE Eleve Sous Bois,HSE Eleve sous bois,
HSE Extra Vieux XO,HSE 2003 XO,
HSE Rhum Blanc,HSE Blanc,
Iceberg Imported Demerara Gold Rum (Canada),,
Isautier 15 ans,Isautier 15-Year,
J. Gow Fading Light,,
Jah45 Jamaican Rum - 18ct Carat Gold,Jah45 Gold,
Jah45 Jamaican Rum - Dark Rum,,
Jah45 Jamaican Rum Silver,,
JAH45 Silver Rum,,
Jamaica Cove Black Ginger Rum,Jamaica Cove Black Ginger,
Jamaica Cove Black Pineapple Rum,Jamaica Cove Black Pineapple,
Jefferson's 1785 Extra Fine Dark Rum,Jefferson's Dark 1785,
Jefferson's 24 Year Old Demerara Rum,,
"John Milroy, Finest Jamaican Rum 26y Rare old rum",,
Juuls Flying No.11 Jamaica 30y,,
Juuls Ping No.9 Jamaica 1977 36y,,
Kane's Golden Rum,,
Kaniche XO,Kaniche XO,
Karukera Gold,Karukera Gold,
Karukera Silver,Karukera Silver,
Kill Devil Barbados 14 Aged 14 Years (Foursquare),Kill Devil (Hunter Laing) 2001 Barbados 14-Year,
Kill Devil Barbados 9 Year Old,Kill Devil (Hunter Laing) 2007 Barbados 9-Year,
Kill Devil Cuba 17 Year Old (1999),Kill Devil (Hunter Laing) 1999 Guyana 17-Year,
Kill Devil Guatemala 8 Years (Darsa Distillery),Kill Devil (Hunter Laing) Guatemala 8-Year,
Kill Devil Guyana Aged 11 Years ‚Äì Port Ellen Finish,,
Kill Devil Guyana Aged 12 Years,,
