systembolaget_name,name
Havana Club Union,Havana Club Union
J Bally 12 Years,J. Bally 12-Year
J Bally 7 ans Pyramide,J. Bally 7-Year
J. Bally Mill√©sime,
J. Bally Rhum Ambr√© ,
Jaguara Premium Dark Rum,
Jamaica Moneymusk 11 Years,
Jamaica Rum Berry Bros & Rudd,
JFS R√•mm Limited,
JFS Silk R√•mm,
Karukera Rhum Vieux Agricole Reserve Speciale,
Kill Devil Uitvlugt 17 Years,Kill Devil (Hunter Laing) 1999 Guyana 17-Year
Kinghaven Port Mourant 8 Years Single Cask,
Kinghaven Versailles 15 Year Old Single Cask,
KISS Black Diamond Premium Dark Rum,
Kuna Panama,Kuna Aged
L√∂nn Lagrad Rom,
La Hechicera Extra Anejo Solera 21,La Hechicera Extra Anejo
La Masion du Rhum Hacienda Coloma Colombie,La Maison Du Rhum Colombia
La Masion du Rhum Ile de la Reunion,La Maison Du Rhum Reunion
La Masion du Rhum Millonario P√©rou,
La Masion du Rhum Panama ,
La Masion du Rhum Perou,La Maison Du Rhum Peroa
La Masion du Rhum Sainte-Lucie,La Maison Du Rhum St. Lucia
La Masion du Rhum Trinidad & Tobago,
La Masion du Rhum Trinidad & Tobago,La Maison Du Rhum Trinidad and Tobago
La Masion du Rhum Vieux Salvador ,
Last Ward Rum 10 Years,
Last Ward Rum 9 Years,
Latino Blend 5 Years,
Long Pond 11 Years Old TECC National Rums of Jamaica,
Magnifica de Faria Bico Do Alambique,
Magnifica de Faria Reserva Solera,
Magnifica Envelhecida,
Magnifica Tradicional,
Malteco Reserva Maya 15 Years,Malteco 15-Year
Malteco Seleccion 1987,Malteco 1987 Seleccion
Mangoustan's Carte Gris,Mangoustan's Carte Grise
Matusalem Cl√°sico Solera Blend 10,Matusalem Clasico 10-Year
Matusalem Gran Reserva Solera Blend 15 Years,Matusalem Gran Reserva 15-Year
Matusalem Gran Reserva Solera Blend 23,Matusalem Gran Reserva 23-Year
Matusalem Platino,Matusalem Platino
Matusalem Solera 7 Blender,Matusalem 7-Year
Mocambo 10 Solera Edition Aniversario,Mocambo 10 Pistol 1821
Mocambo Single Barrel 15 Years,Mocambo Single Barrel 15-Year
Mot√∂rhead Premium Dark Rum,MotÃ¶rhead Premium Dark
Mount Gay 1703 Master Selection,Mount Gay 1703 Master Select
Mount Gay Black Barrel,Mount Gay Black Barrel
Mount Gay Original Series Duo pack,
Mount Gay Pure Pot Still,Mount Gay Copper Pot
Mount Gay Rum Extra Old,Mount Gay XO Extra Old
Negrita A√±ejo Reserve,
Negrita Dark ,
Negrita Spiced Golden,
Negrita White Rum,
Neisson Batch 2,
Neisson L'Espirit Bio,
Neisson Le Rhum Agricole Vieux par Neisson,
Neisson Le Rhum Bio,
Neisson Le Rhum par Neisson,
Neisson XO par Neisson,
Nicaragua Rum Berry Bros & Rudd,
No Borders New World Rum,
No.1 Old Caribbean Dark Spiced,
NO.1 Old Caribbean Exotic ,
No.1 Super Premium Light Rum,
Noble Selected Caribbean Rum,
Noble Selected Caribbean Rum,
Nordmarkens Rom ,
Novo Fogo Barrel-Aged Cacha√ßa,
Novo Fogo Chameleon Cacha√ßa,
Novo Fogo Silver Cacha√ßa,
Novo Fogo Tanager Cacha√ßa,
Old Distiller A√±ejo Superior 5 A√±os,
Oliver y Oliver Ophyum Sistema 12 Solera,
Oliver's Ophyum 17 A√±os Solera,
Oliver¬¥s Ron M√°ximo XO,
Olokun Rum,
On Deck Caribbean Rum 15 Years,
Ophyum 23 Years,
Origenes Reserva 8 Years,
Origenes Reserva Especial 18 Years,
Pampero Blanco,
Pampero Ron A√±ejo Especial,
Panama Kill Devil  Cask Strength 13 Years,
Panamanian Rum 5 Years,
Papa's Pilar Blonde Rum 7,
Papa's Pilar Dark Rum 24,
Papa's Pilar Dark Rum Sherry Cask Finish,
Paranubes Oaxaca Rum,
Penny Blue XO Batch 005,
Pere Labat 59,
Pere Labat Dore Rhum Agricole,
Pere Labat Rhum Extra Vieux Agricole De Marie Galant,
Pere Labat Soleil Rhum Brun Agricole de Marie-Galante,
Phantom Spirits Mikkeller Beer Geek Vanilla Shake Cask 4 Years,
PhantomSpirits Omnipollo/Dugges Perpetual Anagram Bleuberry Cheescake 6 Years,
PhantomSpirits Omnipollo/Dugges Perpetual Anagram Blueberry Cheesecake 8 Years,
Pit√∫ Cacha√ßa Do Brasil,
Pit√∫ Cacha√ßa Do Brasil,
Plantation 20th Anniversary XO Barbados,
Plantation 3 Stars White Rum,
Plantation Experience,
Plantation Grande Reserve Barbados,
Plantation Isle of Fiji,
Plantation O.F.T.D,
Plantation Pineapple ,
Plantation Single Cask Barbados 7 YO Tiny Barrels Mackmyra Ambassador,
Plantation Single Cask Fiji 2009 Kilchoman Peated Cask,
Plantation Single Cask Jamaica Clarendon MBK - Borderie XO cask,
Plantation Single Cask Jamaica Long Pond ITP HJC - Rye whiskey cask,
Plantation Single Cask Panama - Champagne cask,
Plantation Trinidad 8 Years,
Plantation Vintage Jamaica,
Plantation Xaymaca Special Dry,
Port Louiis ,
Port Morant ,
Port Morant Demerara Rum,
Port Mourant White,
Pusser's Rum British Navy,
Rammstein Premium Rum,
"Rammstein Rum Blended Classic Jamaica, Guyana och Trinidad",
Remedy Spiced,
Rhum Bielle ,
Rhum Bielle 40th Anniversary,
Rhum Bielle Canne Grise,
Rhum Bielle Rhum Agricole Marie-Galante,
Rhum Bielle Small Batch,
Rhum Bielle Vintage,
Rhum Extra Premium Selection 10 years,
Rhum Extra Premium Selection 11 Years,
Rhum Extra Premium Selection 11 Years,
Rhum Extra Premium Selection 12 Years,
Rhum Extra Premium Selection 15 Years,
Rhum Extra Premium Selection 24 years,
Rhum JM VSOP,
Rhum Selection Barbados,
Rhum Selection Belize,
Rhum Selection Guatemala,
Rhum Selection Paraguay,
Rhum Selection Trinidad,
Riise XO Reserve 175th AnnIversary Rum,
Rom Malteco A√±ejo Suave 10 Years Old,
Rom Malteco Reserva del Fundador 20 a√±os,
Ron 1914 ,
Ron Abuelo 12 A√±os Gran Reserva,
Ron Abuelo 7 A√±os Reserva Superior,
Ron Abuelo Centuria,
Ron Abuelo XV A√±os Napoleon Cognac Cask Finish,
Ron Abuelo XV A√±os Oloroso Sherry Cask Finish,
Ron Abuelo XV A√±os Tawny Port Cask Finish,
Ron Aldea Familia ,
Ron Aldea Maestro,
Ron Barcel√≥ Imperial,
Ron Caribe A√±ejo Superior 5 A√±os,
Ron Caribe Silver Premium,
Ron Cartavio Solera 12 An√µs,
Ron Cartavio XO,
Ron Centenario 25 Gran Reserva Sistema Solera,
Ron Cristoba Oro,
Ron Cristobal Blanco,
Ron Cristobal Gran A√±ejo,
Ron Cristobal Ni√±a,
Ron Cristobal Pinta 6-8 Years,
Ron Cubay A√±ejo Suave,
Ron Cubay Carta Blanca 14 Years,
Ron Cubay Extra A√±ejo 18 years,
Ron de Jeremy Reserva,
Ron De Jeremy Spiced,
Ron de Jeremy XO 15 Years,
Ron de Jeremy XXXO Notre Dam,
Ron Esclavo 12 Years,
Ron Esclavo 12 Years Islay Whisky Finish,
Ron Esclavo 12 Years Moscatel Wine Finish,
Ron Esclavo Gran Reserva,
Ron Esclavo Gran Reserva,
Ron Esclavo Gran Reserva Overproof,
Ron Esclavo Solera 12 Years,
Ron Esclavo Solera XO,
Ron Esclavo Solera XO Cask,
Ron Esclavo XO,
Ron Esclavo XO Cask,
Ron Esclavo XO Cask Box Whisky Finish,
Ron Esclavo XO Islay Whisky Finish,
Ron Escudero Reserva,
Ron Francisco Montero,
Ron Herrera 15 Years,
Ron Jaguar ,
Ron Jungla,
Ron Maja A√±ejo Autentico 12 A√±os,
Ron Maja A√±ejo Autentico 8 A√±os,
Ron Millonario Reserva Especial Solera 15,
Ron Millonario XO,
Ron Montero Reserva,
Ron Palido ,
Ron Prohibido Solera 12 Years,
Ron Quorhum 30 Years Old Anniversario Cask Strength,
Ron Quorhum A√±os Solera 12 Years,
Ron Quorhum A√±os Solera 15 Years,
Ron Quorhum Aniversario 30 Years,
Ron Quorhum Solera XO QRM,
Ron Roble Ron Extra A√±ejo,
Ron Roble Ultra A√±ejo 12 A√±os,
Ron Valdeflores Blanco Organic,
Ron Valdeflores Handcrafted Organic Oaxaca 8 Years,
Ron Zacapa  Royal,
Ron Zacapa Edicion Negra,
Ron Zacapa Gran Reserva,
Ron Zacapa Reserva Limitada 2019,
Ron Zacapa XO,
Rum & Cane Asia Pacific XO,
Rum & Cane British West Indies XO Barbados and Trinidad,
Rum & Cane Central America XO Rum,
Rum & Cane French Overseas XO,
Rum & Cane Spanish Caribbean XO,
Rum Agricola da Madeira 970 Single Cask Edition,
Rum Nation British Guyana 10 Years Old Cask Strenght,
Rum-Bar White Overproof,
Runa Limited edition Rum,
Runa Small Batch Rum,
Ryoma Japanese Rum Oak Cask 7 Years,
S.B.S Barbados Rum Bottled Aug 2019,
S.B.S Cuba Rum Bottled Aug 2019,
S.B.S Panama Rum Bottled Aug 2019,
S.B.S Trinidad Rum Bottled Aug 2019,
Sagatiba Pura Cristalina,
Sagatiba Velha Cacha√ßa,
Sailor Jerry Spiced Rum,
Saint James XO,
Santa Teresa 1796 ,
Santiago de Cuba 20 Years,
Savanna 12 Years Old Rhum Agricole Single Cask Port finish Reunion Island,
Savanna Herr 57 High Ester Rhum Reunion Inox,
Savanna Lontan 57 Rhum Grand Arome 2019 Reunion Island,
Savanna Rhum Agricole Single Cask ex Cognac Reunion Island,
Savanna SC Rhum Grand Ar√¥me Single Cask ex Cognac Reunion Island,
Secret Treasures Central America 10 Years,
Secret Treasures South America 15 Years,
Single Cask Nation Trinidad Rum 16 Years,
Six Saints Rum ,
Smith & Cross Traditional Jamaica Rum,
South Pacific Rum Fiji,
St Nicholas Abbey 12 Years,
Stroh 0.4,
Stroh 0.6,
STROH 80,
Sweden Rock Spirits XO 15 Years,
Takamaka Extra Noir Rum,
Takamaka Overproof,
Takamaka St. Andr√©,
Takamaka White Rum,
The Bitter Truth Golden Falernum,
The Brand New Republique Gran A√±ejo 3 a√±os,
The Brand New Republique Mango,
The Deamon`s Share ,
The Flying Dutchman Rum Ol 6 years,
The Kraken ,
The Last Caroni 23 Years HTR Blend Heavy Trinidad  Velier,
The Last Caroni 23 Years Old The Tasting Gang Heav Velier,
The Pirate Bay Silver Rum,
The Pirate Bay Silver Rum,
The Ultimate Finest Selection,
Tiki Lovers Dark Rum,
Tiki Lovers White Rum,
Transcontinental Rum Line Guadeloupe,
Transcontinental Rum Line Panama,
Transcontinental Rum Line WP Jamaica,
Tres Hombres Edition 28 La Palma,
Tres Hombres Edition 31 Old Barbados,
Tres Hombres Edition 34 Republica Dominicana,
Trigo Reserva Aneja,
Trinidad Fernandes 9 Years,
Trinidad Kill Devil 18 Years,
Trinidad Kill Devil 24 Years,
Trinidad T.D.L High Proof,
Trois Rivi√®res Cuv√©e Du Moulin Rhum Vieux Agricole,
Trois Rivi√®res Rhum Vieux Agricole 12 ans d'√¢ge,
Trois Rivieres Double Wood,
Trois Rivieres Rhum Ambre,
Two Oaks Ron Abuelo XII A√±os,
Uitvlugt Kill Devil Single Cask Rum,
Uitvlugt Kill Devil Single Cask Rum 17 Years,
Union 55 ,
Uppsala Distillery Independent Bottler Barbados Rum 10 Years Old,
Vale Royal 12 Years Old VRW,
Velho Barreiro ,
Velier Royal Navy Tiger Shark,
Venezuelan Rum 12 Years Cask Ref 17,
Vizcaya Cask 12,
Vizcaya Cask 21,
Volbeat Rum III,
WeiRon Black,
WeiRon Black Navy Strength,
WeiRon Swe Cask 01,
WeiRon Swedish Cask Finish 02,
Westerhall No.10 ,
Westerhall No.2 ,
Westerhall No.3 ,
Westerhall No.5 ,
Westerhall No.7 ,
Worthy Park Estate Rum-Bar Gold Premium Jamaican Rum 4 Years,
Worthy Park Estate Rum-Bar Silver Premium Jamaican Rum,
Worthy Park Single Estate,
Worthy Park Single Estate 12 Years Old,
Wray & Nephew White Overproof Rum,
XM Royal 10 Years,
XM Special 12 Years,
XM Supreme 15 Years,
Zafra 30 Years,
Zafra Ron Master Reserve 21 Years,
